ID,CAUSA,VICTIMA,TIPO_VEHICULO_VICTIMA,MARCA_VEHICULO_VICTIMA,MODELO_VEHICULO_VICTIMA,COLECTIVO_VICTIMA,INTERNO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,SRIO_NRO,repetido
56,LESIONES,PEATON,PEATON,,,,,Femenino,29,1200,
57,LESIONES,CONDUCTOR,MOTO,HONDA,WAVE,,,Masculino,20,1243,
58,LESIONES,CONDUCTOR,MOTO,YAMAHA,XTZ,,,Masculino,23,451,
59,LESIONES,CICLISTA,BICICLETA,SIN DATOS,NO HAY DATOS,,,Femenino,18,949,
60,LESIONES,CONDUCTOR,MOTO,YAMAHA,YBR 125,,,Masculino,37,887,
61,LESIONES,CONDUCTOR,MOTO,YAMAHA,FZ 16,,,Masculino,37,672,
62,LESIONES,CONDUCTOR,MOTO,HONDA,CG TITAN,,,Masculino,22,1209,
62,LESIONES,CONDUCTOR,MOTO,YAMAHA,FZ,,,Masculino,21,1209,
63,LESIONES,PEATON,PEATON,,,,,Masculino,8,1836,
64,LESIONES,CONDUCTOR,MOTO,YAMAHA,YBR,,,Masculino,25,609,
65,LESIONES,PEATON,PEATON,,,,,Femenino,19,606,
66,LESIONES,CONDUCTOR,MOTO,SIN DATOS,NO HAY DATOS,,,Masculino,25,308,
67,HOMICIDIO,CONDUCTOR,MOTO,CERRO,110,,,Masculino,27,1598,
68,LESIONES,PEATON,PEATON,,,,,Masculino,15,1606,
69,LESIONES,CONDUCTOR,AUTO PARTICULAR,HONDA,FIT,,,Femenino,30,992,
70,LESIONES,CONDUCTOR,MOTO,YAMAHA,IBR 125,,,Masculino,23,781,
71,LESIONES,CONDUCTOR,MOTO,HONDA,CG TITAN,,,Masculino,45,617,
72,LESIONES,PEATON,PEATON,,,,,Masculino,27,1246,
73,LESIONES,CONDUCTOR,BICICLETA,SIN DATOS,NO HAY DATOS,,,Femenino,25,1532,
74,LESIONES,CONDUCTOR,MOTO,BAJAJ ROUSER,135 L5,,,Masculino,30,708,
75,LESIONES,PEATON,PEATON,,,,,Femenino,55,1265,
76,LESIONES,CONDUCTOR,BICICLETA,SIN DATOS,MONTAIN BIKE,,,Masculino,42,615,
77,LESIONES,CONDUCTOR,AUTO PARTICULAR,SIN DATOS,NO HAY DATOS,,,Masculino,30,948,
78,LESIONES,CONDUCTOR,AUTO PARTICULAR,FIAT,PALIO,,,Femenino,26,686,
79,LESIONES,CONDUCTOR,MOTO,ZANELLA,PATAGONIAN,,,Femenino,49,1242,
80,LESIONES,CONDUCTOR,TAXI/REMIS,CHEVROLET,CORSA,,,Masculino,26,737,
81,LESIONES,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),FORD,KA,,,Femenino,20,567,
82,LESIONES,CONDUCTOR,MOTO,BAJAJ,ROUSER,,,Masculino,23,1708,
83,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,CHEVROLET,CORSA,,,Femenino,1,1371,
83,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,CHEVROLET,CORSA,,,Femenino,32,1371,
84,LESIONES,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,FOX,,,Masculino,65,952,
85,HOMICIDIO,PEATON,PEATON,,,,,Masculino,57,1309,
86,LESIONES,PEATON,PEATON,,,,,Femenino,999,690,
87,LESIONES,PEATON,PEATON,,,,,Masculino,26,1413,
88,LESIONES,PEATON,PEATON,,,,,Masculino,74,1082,
89,LESIONES,CONDUCTOR,TAXI/REMIS,CHEVROLET,CORSA,,,Masculino,43,1017,
90,LESIONES,CONDUCTOR,MOTO,YAMAHA,NO HAY DATOS,,,Masculino,49,1607,
91,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,HONDA,FIT,,,Femenino,45,761,
91,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,HONDA,FIT,,,Femenino,45,761,1
92,LESIONES,PEATON,PEATON,,,,,Masculino,65,1449,
93,LESIONES,PEATON,PEATON,,,,,Masculino,34,1657,
94,LESIONES,CONDUCTOR,MOTO,HONDA,BIZ 125,,,Masculino,36,1693,
95,LESIONES,CONDUCTOR,MOTO,YAMAHA,TDM 900,,,Femenino,43,1289,
96,LESIONES,CONDUCTOR,MOTO,GUZZI,NO HAY DATOS,,,Masculino,34,935,
97,LESIONES,PASAJERO/ACOMPA�ANTE,CAMIONETA,RENAULT,KANGOO,,,Femenino,38,1583,
97,LESIONES,PASAJERO/ACOMPA�ANTE,CAMIONETA,RENAULT,KANGOO,,,Femenino,39,1583,
97,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PFA / MOVIL / GENDARMERIA / METROPOLITANA / MOTO MOVIL,CHEVROLET,MERIVA,,,Masculino,39,1583,
97,LESIONES,PASAJERO/ACOMPA�ANTE,CAMIONETA,RENAULT,KANGOO,,,Femenino,38,1583,1
97,LESIONES,PASAJERO/ACOMPA�ANTE,CAMIONETA,RENAULT,KANGOO,,,Femenino,39,1583,1
97,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PFA / MOVIL / GENDARMERIA / METROPOLITANA / MOTO MOVIL,CHEVROLET,MERIVA,,,Masculino,39,1583,1
98,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,RENAULT,SANDERO,,,Femenino,30,1766,
99,LESIONES,CONDUCTOR,MOTO,HONDA,XR 300,,,Masculino,26,1406,
99,LESIONES,CONDUCTOR,MOTO,HONDA,XR 300,,,Masculino,26,1406,1
100,LESIONES,CONDUCTOR,MOTO,HONDA,XR,,,Masculino,26,775,
100,LESIONES,PASAJERO/ACOMPA�ANTE,MOTO,HONDA,XR,,,Masculino,22,775,
101,LESIONES,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,GOL,,,Masculino,42,2352,
102,LESIONES,PEATON,PEATON,,,,,Femenino,82,1251,
103,LESIONES,PEATON,PEATON,,,,,Masculino,32,2719,
103,LESIONES,PEATON,PEATON,,,,,Masculino,32,2719,1
104,LESIONES,CONDUCTOR,MOTO,HONDA,STORM,,,Masculino,33,1010,
105,LESIONES,PEATON,PEATON,,,,,Femenino,78,993,
105,LESIONES,PEATON,PEATON,,,,,Femenino,78,993,1
106,LESIONES,CONDUCTOR,MOTO,CERRO,110,,,Masculino,27,2093,
107,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,RENAULT,18,,,Masculino,30,1765,
107,LESIONES,PASAJERO/ACOMPA�ANTE,TRANSPORTE PUBLICO,,,LINEA 55,INT 17,Femenino,40,1765,
108,LESIONES,CONDUCTOR,MOTO,HONDA,CG TITAN,,,Masculino,39,2070,
109,LESIONES,CONDUCTOR,TAXI/REMIS,CHEVROLET,MERIVA,,,Masculino,46,1719,
110,LESIONES,CICLISTA,BICICLETA,SIN DATOS,NO HAY DATOS,,,Femenino,24,1309,
111,LESIONES,CONDUCTOR,AUTO PARTICULAR,FORD,FALCON,,,Femenino,64,2305,
112,LESIONES,CONDUCTOR,MOTO,YAMAHA,FZ 16,,,Masculino,24,1219,
113,LESIONES,CONDUCTOR,AUTO PARTICULAR,FORD,FOCUS,,,Masculino,29,1304,
114,LESIONES,CONDUCTOR,MOTO,YAMAHA,900,,,Masculino,30,1765,
115,LESIONES,CONDUCTOR,MOTO,KAWASAKI,NINJA,,,Masculino,33,1649,
116,LESIONES,CONDUCTOR,MOTO,ZANELLA,RX 150,,,Masculino,17,2600,
117,LESIONES,PEATON,PEATON,,,,,Masculino,42,1309,
118,LESIONES,CONDUCTOR,MOTO,SUZUKI,100,,,Masculino,22,1893,
119,LESIONES,CONDUCTOR,MOTO,MOTOMEL,S2 150,,,Masculino,24,1550,
120,LESIONES,PEATON,PEATON,,,,,Masculino,32,1632,
121,LESIONES,CONDUCTOR,MOTO,BETAMOTOR,110,,,Masculino,28,1411,
122,LESIONES,CICLISTA,BICICLETA,LUCKY LION,NO HAY DATOS,,,Masculino,50,1878,
123,LESIONES,CONDUCTOR,MOTO,HONDA,FALCON,,,Masculino,46,446,
124,LESIONES,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,SURAN,,,Masculino,24,1495,
125,LESIONES,CONDUCTOR,MOTO,SIN DATOS,NO HAY DATOS,,,Masculino,29,455,
126,LESIONES,CONDUCTOR,MOTO,YAMAHA,Y 125,,,Masculino,38,2061,
127,LESIONES,CONDUCTOR,MOTO,YAMAHA,XTZ 250,,,Masculino,36,1951,
128,LESIONES,PEATON,PEATON,,,,,Masculino,66,2166,
129,LESIONES,PASAJERO/ACOMPA�ANTE,TRANSPORTE PUBLICO,,,LINEA 6,NO HAY DATOS,Femenino,63,1649,
130,LESIONES,CONDUCTOR,MOTO,BETAMOTOR,110,,,Masculino,29,2143,
131,LESIONES,PEATON,PEATON,,,,,Masculino,29,1815,
132,LESIONES,PEATON,PEATON,,,,,Femenino,56,1532,
133,LESIONES,CONDUCTOR,MOTO,HONDA,WAVE,,,Masculino,23,1188,
134,HOMICIDIO,CICLISTA,BICICLETA,SIN DATOS,MONTAIN BIKE,,,Femenino,26,2160,
135,LESIONES,CONDUCTOR,MOTO,HONDA,CB 1,,,Femenino,26,2142,
136,LESIONES,CONDUCTOR,CAMION,FORD,CARGO 1722,,,Masculino,39,2832,
137,LESIONES,CONDUCTOR,MOTO,YAMAHA,YBR,,,Masculino,49,1186,
138,LESIONES,CONDUCTOR,MOTO,HONDA,TORNADO,,,Masculino,37,1410,
139,LESIONES,PEATON,PEATON,,,,,Masculino,44,1651,
140,LESIONES,PEATON,PEATON,,,,,Masculino,32,1419,
141,LESIONES,CICLISTA,SIN DATOS,,,,,Masculino,76,1182,
142,LESIONES,CONDUCTOR,MOTO,ZANELLA,110,,,Masculino,45,2533,
143,LESIONES,PEATON,PEATON,,,,,Femenino,28,1826,
144,LESIONES,CONDUCTOR,MOTO,HONDA,CBR,,,Femenino,35,3086,
145,LESIONES,PEATON,PEATON,,,,,Masculino,36,1078,
146,LESIONES,CONDUCTOR,MOTO,YAMAHA,NO HAY DATOS,,,Femenino,26,2617,
147,LESIONES,PEATON,PEATON,,,,,Femenino,58,2201,
148,LESIONES,PEATON,PEATON,,,,,Masculino,51,1790,
149,LESIONES,CONDUCTOR,MOTO,YAMAHA,YBR 125,,,Femenino,32,1429,
150,LESIONES,PASAJERO/ACOMPA�ANTE,SIN DATOS,,,,,Femenino,67,2486,
151,LESIONES,CONDUCTOR,MOTO,CORVEN,NO HAY DATOS,,,Masculino,31,2155,
152,LESIONES,CONDUCTOR,MOTO,YAMAHA,FZ,,,Masculino,30,1797,
153,LESIONES,CONDUCTOR,MOTO,HONDA,XR 125,,,Masculino,30,2597,
154,LESIONES,PEATON,PEATON,,,,,Masculino,59,1170,
155,LESIONES,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CORSA,,,Masculino,33,3367,
156,LESIONES,CONDUCTOR,MOTO,GILERA,R,,,Masculino,28,1721,
157,LESIONES,CONDUCTOR,MOTO,HONDA,NO HAY DATOS,,,Masculino,28,1874,
158,LESIONES,CONDUCTOR,MOTO,HONDA,CBR,,,Masculino,44,1439,
159,LESIONES,PEATON,PEATON,,,,,Masculino,25,4042,
160,LESIONES,CICLISTA,BICICLETA,SIN DATOS,MONTAIN BIKE,,,Masculino,42,2606,
160,LESIONES,CICLISTA,BICICLETA,SIN DATOS,MONTAIN BIKE,,,Masculino,42,2606,1
161,LESIONES,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,FOX,,,Femenino,22,1967,
162,LESIONES,CONDUCTOR,AUTO PARTICULAR,CITROEN,C3,,,Femenino,36,2477,
163,LESIONES,PASAJERO/ACOMPA�ANTE,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Femenino,45,2587,
164,LESIONES,PEATON,PEATON,,,,,Femenino,67,1583,
165,LESIONES,CONDUCTOR,AUTO PARTICULAR,FIAT,SPAZIO,,,Femenino,22,3537,
166,LESIONES,PEATON,PEATON,,,,,Femenino,62,1791,
167,LESIONES,PASAJERO/ACOMPA�ANTE,TRANSPORTE PUBLICO,,,LINEA 175,INT 26,Masculino,74,1833,
168,LESIONES,CONDUCTOR,MOTO,HONDA,XR 125,,,Masculino,38,1969,
169,LESIONES,CONDUCTOR,MOTO,YAMAHA,YBR,,,Masculino,51,1837,
170,LESIONES,PEATON,PEATON,,,,,Femenino,31,2204,
171,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,VOLKSWAGEN,GOLF,,,Femenino,33,3051,
171,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,VOLKSWAGEN,GOLF,,,Femenino,33,3051,1
171,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,PEUGEOT,206,,,Femenino,44,3051,
171,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,PEUGEOT,206,,,Femenino,44,3051,1
172,LESIONES,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,MERIVA,,,Masculino,51,3769,
173,LESIONES,CONDUCTOR,MOTO,YAMAHA,FZ,,,Masculino,21,1703,
174,LESIONES,CONDUCTOR,MOTO,ZANELLA,RX,,,Masculino,37,2163,
175,LESIONES,CONDUCTOR,MOTO,ZANELLA,200,,,Masculino,23,1777,
176,LESIONES,CONDUCTOR,MOTO,HONDA,250,,,Masculino,28,1342,
177,LESIONES,PEATON,PEATON,,,,,Femenino,56,3039,
178,LESIONES,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,306,,,Masculino,35,1814,
179,LESIONES,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CORSA,,,Masculino,45,1259,
180,LESIONES,PEATON,PEATON,,,,,Femenino,60,2065,
181,LESIONES,CICLISTA,BICICLETA,SIN DATOS,NO HAY DATOS,,,Masculino,24,2103,
182,LESIONES,PEATON,PEATON,,,,,Femenino,34,1669,
183,LESIONES,CONDUCTOR,MOTO,GILERA,NO HAY DATOS,,,Masculino,24,1670,
184,LESIONES,CONDUCTOR,MOTO,MONDIAL,RX 150,,,Masculino,29,2778,
185,LESIONES,CONDUCTOR,MOTO,MOTOMEL,125,,,Masculino,32,1297,
186,LESIONES,CONDUCTOR,AUTO PARTICULAR,FORD,FOCUS,,,Femenino,61,2859,
187,LESIONES,CONDUCTOR,MOTO,HONDA,CG,,,Masculino,17,2166,
188,LESIONES,PASAJERO/ACOMPA�ANTE,MOTO,ZANELLA,NO HAY DATOS,,,Femenino,17,1587,
188,LESIONES,PASAJERO/ACOMPA�ANTE,MOTO,ZANELLA,NO HAY DATOS,,,Femenino,17,1587,1
188,LESIONES,CONDUCTOR,MOTO,ZANELLA,NO HAY DATOS,,,Masculino,28,1587,
189,LESIONES,CONDUCTOR,MOTO,GILERA,NO HAY DATOS,,,Femenino,46,2141,
190,LESIONES,CONDUCTOR,AUTO PARTICULAR,RENAULT,CLIO,,,Masculino,39,2136,
191,LESIONES,PEATON,PEATON,,,,,Femenino,5,3771,
192,LESIONES,PASAJERO/ACOMPA�ANTE,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,43,3619,
193,LESIONES,PEATON,PEATON,,,,,Masculino,5,4353,
194,LESIONES,CONDUCTOR,MOTO,BAJAJ ROUSER,20C,,,Masculino,52,2445,
195,LESIONES,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),HONDA,FIT,,,Femenino,36,1814,
196,LESIONES,PASAJERO/ACOMPA�ANTE,MOTO,GILERA,NO HAY DATOS,,,Femenino,27,2470,
196,LESIONES,PASAJERO/ACOMPA�ANTE,MOTO,GILERA,NO HAY DATOS,,,Femenino,27,2470,1
197,LESIONES,CONDUCTOR,TAXI/REMIS,CHEVROLET,CORSA,,,Masculino,49,1812,
198,LESIONES,PEATON,PEATON,,,,,Masculino,74,2211,
199,LESIONES,CONDUCTOR,AUTO PARTICULAR,SIN DATOS,TIIDA,,,Masculino,34,1881,
200,LESIONES,PEATON,PEATON,,,,,Femenino,33,1660,
201,LESIONES,PEATON,PEATON,,,,,Femenino,38,4556,
202,LESIONES,CONDUCTOR,MOTO,GILERA,125,,,Masculino,20,4571,
203,LESIONES,PEATON,PEATON,,,,,Masculino,50,1657,
204,LESIONES,PEATON,PEATON,,,,,Masculino,45,3012,
205,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,RENAULT,KANGOO,,,Masculino,70,3022,
206,SIN DATOS,CONDUCTOR,MOTO,YAMAHA,F 2,,,Masculino,25,3008,
207,LESIONES,PEATON,PEATON,,,,,Femenino,14,3505,
208,LESIONES,CONDUCTOR,CAMIONETA,MERCEDES BENZ,SPRINTER,,,Masculino,23,4340,
209,LESIONES,CONDUCTOR,MOTO,MOTOMEL,200,,,Masculino,35,1532,
210,LESIONES,CONDUCTOR,MOTO,YAMAHA,FZ,,,Masculino,18,3034,
211,LESIONES,CICLISTA,BICICLETA,SIN DATOS,NO HAY DATOS,,,Femenino,27,4140,
212,LESIONES,CICLISTA,BICICLETA,SIN DATOS,NO HAY DATOS,,,Masculino,32,4134,
213,LESIONES,PASAJERO/ACOMPA�ANTE,TRANSPORTE PUBLICO,,,LINEA 95,INT 40,Femenino,61,1932,
214,LESIONES,CONDUCTOR,SIN DATOS,,,,,Masculino,25,3243,
215,LESIONES,CONDUCTOR,MOTO,HONDA,CB 1,,,Masculino,22,3232,
216,LESIONES,CONDUCTOR,MOTO,ZANELLA,TX200,,,Masculino,28,2462,
217,LESIONES,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 87,INT 157,Femenino,74,2045,
218,LESIONES,CONDUCTOR,MOTO,HONDA,TORNADO,,,Masculino,20,2041,
219,LESIONES,CONDUCTOR,UTILITARIO,FORD,RANGER,,,Femenino,68,2051,
220,LESIONES,CONDUCTOR,MOTO,HONDA,CG,,,Masculino,23,3426,
221,LESIONES,CONDUCTOR,SIN DATOS,,,,,Masculino,61,3236,
222,LESIONES,PEATON,PEATON,,,,,Femenino,43,3246,
223,LESIONES,CONDUCTOR,BICICLETA,SIN DATOS,RODADO 28,,,Femenino,58,3460,
224,LESIONES,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,GOL,,,Masculino,18,2630,
225,LESIONES,CONDUCTOR,MOTO,SUZUKI,AX  100,,,Masculino,20,2053,
226,LESIONES,PEATON,PEATON,,,,,Masculino,9,5948,
227,LESIONES,PASAJERO/ACOMPA�ANTE,MOTO,SIN DATOS,NO HAY DATOS,,,Masculino,27,2639,
228,LESIONES,CONDUCTOR,MOTO,ZANELLA,ZR 250,,,Masculino,30,3716,
229,LESIONES,CONDUCTOR,MOTO,HONDA,TORNADO,,,Masculino,37,3368,
230,LESIONES,CONDUCTOR,MOTO,ZANELLA,NO HAY DATOS,,,Masculino,31,1876,
231,LESIONES,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,ZAFIRA,,,Masculino,50,2336,
232,LESIONES,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,SURAN,,,Masculino,59,2863,
232,LESIONES,CONDUCTOR,AUTO PARTICULAR,FORD,FOCUS,,,Masculino,65,2863,
233,LESIONES,CONDUCTOR,AUTO PARTICULAR,FIAT,SIENA,,,Masculino,40,4969,
234,LESIONES,PASAJERO/ACOMPA�ANTE,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,23,2748,
235,LESIONES,CONDUCTOR,AUTO PARTICULAR,RENAULT,CLIO,,,Femenino,29,4972,
236,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,VOLKSWAGEN,VENTO,,,Masculino,61,756,
236,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,VOLKSWAGEN,VENTO,,,Masculino,61,756,1
237,LESIONES,PEATON,PEATON,,,,,Femenino,84,3821,
238,LESIONES,CONDUCTOR,MOTO,YAMAHA,125,,,Masculino,43,1465,
239,LESIONES,CONDUCTOR,MOTO,HONDA,NO HAY DATOS,,,Masculino,37,2647,
240,LESIONES,PASAJERO/ACOMPA�ANTE,SIN DATOS,,,,,Masculino,66,2659,
241,LESIONES,CONDUCTOR,AUTO PARTICULAR,FIAT,SIENA,,,Masculino,53,4003,
242,LESIONES,PEATON,PEATON,,,,,Masculino,999,3345,
243,LESIONES,CONDUCTOR,MOTO,YAMAHA,FZ 16,,,Masculino,22,3901,
244,LESIONES,PEATON,PEATON,,,,,Masculino,13,4023,
245,LESIONES,CICLISTA,BICICLETA,SIN DATOS,NO HAY DATOS,,,Masculino,24,2287,
