ORDEN,ID,Fuente,PERIODO,COMISARIA,FECHA,HORA,TIPO_COLISION,TIPO_HECHO,LUGAR_DEL_HECHO,DIRECCION_NORMALIZADA,TIPO_DE_CALLE,Dirección Normalizada (ArcGIS),Calle,Altura,Cruce,Código de Calle,Código de Cruce,Geocodificación,Franja horaria,Día de la semana,Semestre,repetido,POINT_X,POINT_Y
172,12,POLICIA FEDERAL 2015,ENERO,23,01/01/2015,2:50:00 AM,VEHICULO - VEHICULO,COLISION,SALGUERO Y CHONINO,"SALGUERO, JERONIMO y CHONINO",CALLE,"SALGUERO, JERONIMO & CHONINO","SALGUERO, JERONIMO",0,CHONINO,20012,3241,POINT(105552.8046875 106098.9921875),1,5,1,0,-58.40278399,-34.5742764
1083,13,POLICIA FEDERAL 2015,FEBRERO,37,01/02/2015,5:10:00 PM,VEHICULO - MOTO,COLISION,AV. BALBIN Y MONROE,"BALBIN, RICARDO, DR. AV. y MONROE",AVENIDA,"BALBIN, RICARDO, DR. AV. & MONROE","BALBIN, RICARDO, DR. AV.",0,MONROE,4053,4111,POINT(99707.171875 107441.3671875),0,1,1,0,-58.4664902,-34.56219023
887,14,POLICIA FEDERAL 2015,FEBRERO,19,01/02/2015,6:00:00 PM,SIN DATOS,SIN DATOS,AV. FIGUEROA ALCORTA Y AV. PUEYRREDON,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",AVENIDA,"FIGUEROA ALCORTA, PRES. AV. & PUEYRREDON AV.","FIGUEROA ALCORTA, PRES. AV.",0,PUEYRREDON AV.,6025,17132,POINT(106673.453125 104998.953125),0,1,1,0,-58.3905624,-34.58418604
997,15,POLICIA FEDERAL 2015,FEBRERO,32,01/02/2015,11:15:00 PM,MOTO - MOTO,COLISION,AV. IRIARTE 3750,"IRIARTE, GRAL. AV. 3750",AVENIDA,"3750 IRIARTE, GRAL. AV.","IRIARTE, GRAL. AV.",3750,0,9017,0,POINT(105848.154425 97592.2432194),1,1,1,0,-58.39950713,-34.65095806
1030,16,POLICIA FEDERAL 2015,FEBRERO,27,01/02/2015,8:30:00 PM,VEHICULO - MOTO,COLISION,AV. JUAN B JUSTO Y MUÑECAS,"JUSTO, JUAN B. AV. y MUÑECAS",AVENIDA,"JUSTO, JUAN B. AV. & MUÑECAS","JUSTO, JUAN B. AV.",0,MUÑECAS,10018,13141,POINT(101332.571976584 103485.169329383),1,1,1,0,-58.44877291,-34.59785249
724,17,POLICIA FEDERAL 2015,FEBRERO,4,01/02/2015,10:30:00 AM,VEHICULO - MOTO,COLISION,AVDA 9 DE JULIO & ADOLFO ALSINA,"9 DE JULIO AV. y ALSINA, ADOLFO",AVENIDA,"9 DE JULIO AV. & ALSINA, ADOLFO",9 DE JULIO AV.,0,"ALSINA, ADOLFO",14029,1046,POINT(107513.27438882 102046.489133227),0,1,1,0,-58.38138286,-34.61079506
1353,18,POLICIA FEDERAL 2015,FEBRERO,39,01/02/2015,5:30:00 PM,VEHICULO - MOTO,COLISION,AVDA ALVAREZ THOMAS & MCAL ANTONIO J DE SUCRE,"ALVAREZ THOMAS AV. y SUCRE, ANTONIO JOSE DE, MCAL.",AVENIDA,"ALVAREZ THOMAS AV. & SUCRE, ANTONIO JOSE DE, MCAL.",ALVAREZ THOMAS AV.,0,"SUCRE, ANTONIO JOSE DE, MCAL.",1059,20120,POINT(98781.078125 105856.15625),0,1,1,0,-58.47658385,-34.57647935
1283,19,POLICIA FEDERAL 2015,FEBRERO,38,01/02/2015,11:30:00 AM,VEHICULO - PEATON,ATROPELLO,AVDA DIRECTORIO & VARELA,DIRECTORIO AV. y VARELA,AVENIDA,DIRECTORIO AV. & VARELA,DIRECTORIO AV.,0,VARELA,4078,23011,POINT(99985.5859375 99439.859375),0,1,1,0,-58.46345709,-34.63431935
1304,20,POLICIA FEDERAL 2015,FEBRERO,50,01/02/2015,10:40:00 AM,VEHICULO - VEHICULO,COLISION,AVDA GAONA Y AVDA DONATO ALVAREZ,"GAONA AV. y ALVAREZ, DONATO, TTE. GRAL.",AVENIDA,"GAONA AV. & ALVAREZ, DONATO, TTE. GRAL.",GAONA AV.,0,"ALVAREZ, DONATO, TTE. GRAL.",7025,1055,POINT(100353.2265625 101706.640625),0,1,1,0,-58.45944838,-34.61388565
1420,21,POLICIA FEDERAL 2015,FEBRERO,49,01/02/2015,9:30:00 AM,MOTO - MOTO,COLISION,AVDA GRAL PAZ COLECTORA & AVDA DR RICARDO BALBIN,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",AVENIDA,"PAZ, GRAL. AV. & BALBIN, RICARDO, DR. AV.","PAZ, GRAL. AV.",0,"BALBIN, RICARDO, DR. AV.",17041,4053,POINT(96666.3984375 108707.859375),0,1,1,0,-58.49961926,-34.55076793
757,22,POLICIA FEDERAL 2015,FEBRERO,22,01/02/2015,12:10:00 AM,VEHICULO - VEHICULO,COLISION,AVDA ING HUERGO Y MORENO,"HUERGO, ING. AV. y MORENO",AVENIDA,"HUERGO, ING. AV. & MORENO","HUERGO, ING. AV.",0,MORENO,8030,13126,POINT(108808.65625 102022.7890625),1,1,1,0,-58.36725915,-34.61099847
1466,23,POLICIA FEDERAL 2015,FEBRERO,42,01/02/2015,4:45:00 AM,VEHICULO - PEATON,ATROPELLO,AVDA LARRAZABAL & AVDA JUAN B ALBERDI,"LARRAZABAL AV. y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,"LARRAZABAL AV. & ALBERDI, JUAN BAUTISTA AV.",LARRAZABAL AV.,0,"ALBERDI, JUAN BAUTISTA AV.",12064,1033,POINT(96433.515625 97551.8203125),1,1,1,0,-58.50220413,-34.65133243
1449,24,POLICIA FEDERAL 2015,FEBRERO,40,01/02/2015,5:15:00 PM,VEHICULO - PEATON,ATROPELLO,AVDA RIVADAVIA & AVDA SEGUROLA,RIVADAVIA AV. y SEGUROLA AV.,AVENIDA,RIVADAVIA AV. & SEGUROLA AV.,RIVADAVIA AV.,0,SEGUROLA AV.,19046,20088,POINT(98250.4609375 99481.5),0,1,1,0,-58.48238032,-34.6339424
802,25,POLICIA FEDERAL 2015,FEBRERO,8,01/02/2015,6:30:00 PM,VEHICULO - MOTO,COLISION,AVDA RIVADAVIA Y MAZA,RIVADAVIA AV. y MAZA,AVENIDA,RIVADAVIA AV. & MAZA,RIVADAVIA AV.,0,MAZA,19046,13055,POINT(104215.3515625 102032.2109375),0,1,1,0,-58.41733987,-34.61094243
695,26,POLICIA FEDERAL 2015,FEBRERO,2,01/02/2015,4:30:00 PM,VEHICULO - MOTO,COLISION,CHACABUCO & MEXICO,CHACABUCO y MEXICO,CALLE,CHACABUCO & MEXICO,CHACABUCO,0,MEXICO,3214,13076,POINT(108003.234375 101579.546875),0,1,1,0,-58.37603649,-34.61500058
1055,27,POLICIA FEDERAL 2015,FEBRERO,31,01/02/2015,3:00:00 AM,VEHICULO - MOTO,COLISION,HONDURAS Y HUMBOLDT,HONDURAS y HUMBOLDT,CALLE,HONDURAS & HUMBOLDT,HONDURAS,0,HUMBOLDT,8020,8036,POINT(102560.6796875 104924.8359375),1,1,1,0,-58.43538924,-34.58487243
1210,28,POLICIA FEDERAL 2015,FEBRERO,10,01/02/2015,7:20:00 AM,VEHICULO - BICICLETA,COLISION,MEXICO Y YAPEYU,MEXICO y YAPEYU,CALLE,MEXICO & YAPEYU,MEXICO,0,YAPEYU,13076,26001,POINT(103832.3828125 101012.59375),0,1,1,0,-58.42151082,-34.62013515
697,29,POLICIA FEDERAL 2015,FEBRERO,2,01/02/2015,8:40:00 PM,VEHICULO - MOTO,COLISION,MORENO & BOLIVAR,MORENO y BOLIVAR,CALLE,MORENO & BOLIVAR,MORENO,0,BOLIVAR,13126,2092,POINT(108247.2734375 101979.890625),1,1,1,0,-58.37337948,-34.6113898
1223,30,POLICIA FEDERAL 2015,FEBRERO,11,01/02/2015,7:30:00 PM,VEHICULO - BICICLETA,COLISION,OTAMENDI & DR JUAN F ARANGUREN,"OTAMENDI y ARANGUREN, JUAN F., DR.",CALLE,"OTAMENDI & ARANGUREN, JUAN F., DR.",OTAMENDI,0,"ARANGUREN, JUAN F., DR.",16040,1094,POINT(102710.34375 102044.125),0,1,1,0,-58.43374896,-34.61084003
1256,31,POLICIA FEDERAL 2015,FEBRERO,13,01/02/2015,4:25:00 PM,VEHICULO - MOTO,COLISION,SAN MARTIN Y ESPINOSA ,SAN MARTIN AV. y ESPINOSA,AVENIDA,SAN MARTIN AV. & ESPINOSA,SAN MARTIN AV.,0,ESPINOSA,20045,5079,POINT(100617.890625 102693.8671875),0,1,1,0,-58.45656331,-34.60498626
2311,32,POLICIA FEDERAL 2015,MARZO,49,01/03/2015,10:50:00 PM,VEHICULO - MOTO,COLISION,3169 PACHECO,PACHECO 3169,CALLE,3169 PACHECO,PACHECO,3169,0,17001,0,POINT(97624.1162122 106933.08136),1,1,1,0,-58.48918989,-34.56676935
1683,33,POLICIA FEDERAL 2015,MARZO,9,01/03/2015,9:40:00 PM,MOTO - PEATON,ATROPELLO,3234 AVDA CORRIENTES,CORRIENTES AV. 3234,AVENIDA,3234 CORRIENTES AV.,CORRIENTES AV.,3234,0,3174,0,POINT(104807.141631 102788.288373),1,1,1,0,-58.41089183,-34.60412426
2310,34,POLICIA FEDERAL 2015,MARZO,49,01/03/2015,2:00:00 PM,VEHICULO - VEHICULO,COLISION,3600 AVDA GRAL PAZ COLECTORA,"PAZ, GRAL. AV. 3600",AVENIDA,"3600 PAZ, GRAL. AV.","PAZ, GRAL. AV.",3600,0,17041,0,POINT(96572.582905 108568.034377),0,1,1,0,-58.50064196,-34.55202806
2224,35,POLICIA FEDERAL 2015,MARZO,41,01/03/2015,6:20:00 PM,VEHICULO - BICICLETA,COLISION,4100 AVDA SAN MARTIN,SAN MARTIN AV. 4100,AVENIDA,4100 SAN MARTIN AV.,SAN MARTIN AV.,4100,0,20045,0,POINT(98499.8038704 103314.509234),0,1,1,0,-58.47965396,-34.59939051
2006,36,POLICIA FEDERAL 2015,MARZO,33,01/03/2015,10:00:00 PM,SIN DATOS,SIN DATOS,ARCOS & JOSE HERNANDEZ,"ARCOS y HERNANDEZ, JOSE",CALLE,"ARCOS & HERNANDEZ, JOSE",ARCOS,0,"HERNANDEZ, JOSE",1102,8011,POINT(101164.5625 107225.5234375),1,1,1,0,-58.45060931,-34.56413542
1619,37,POLICIA FEDERAL 2015,MARZO,5,01/03/2015,11:25:00 PM,VEHICULO - MOTO,COLISION,AV CORRIENTES 1865,CORRIENTES AV. 1865,AVENIDA,1865 CORRIENTES AV.,CORRIENTES AV.,1865,0,3174,0,POINT(106423.188533 102758.748156),1,1,1,0,-58.39327335,-34.6043818
2113,38,POLICIA FEDERAL 2015,MARZO,34,01/03/2015,12:20:00 AM,SIN DATOS,SIN DATOS,AV DEL BARCO CENTENERA 3233,BARCO CENTENERA DEL 3233,CALLE,3233 BARCO CENTENERA DEL,BARCO CENTENERA DEL,3233,0,3112,0,POINT(103864.990702 97342.0288668),1,1,1,0,-58.42113876,-34.65322288
1872,39,POLICIA FEDERAL 2015,MARZO,28,01/03/2015,7:35:00 AM,VEHICULO - VEHICULO,COLISION,AV. AMANCIO ALCORTA Y COLONIA,"ALCORTA, AMANCIO AV. y COLONIA AV.",AVENIDA,"ALCORTA, AMANCIO AV. & COLONIA AV.","ALCORTA, AMANCIO AV.",0,COLONIA AV.,1036,3146,POINT(106146.8046875 98525.6328125),0,1,1,0,-58.39625611,-34.64254243
2485,40,POLICIA FEDERAL 2015,MARZO,52,01/03/2015,6:45:00 AM,MOTO - MOTO,COLISION,AV. COLECTORA GRAL. PAZ Y AV. 27 DE FEBRERO,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",AVENIDA,"PAZ, GRAL. AV. & 27 DE FEBRERO AV.","PAZ, GRAL. AV.",0,27 DE FEBRERO AV.,17041,23026,POINT(100190.327373309 91738.0833595565),0,1,1,0,-58.46122294,-34.70374567
1745,41,POLICIA FEDERAL 2015,MARZO,15,01/03/2015,1:00:00 AM,VEHICULO - BICICLETA,COLISION,AV. LIBERTADOR 405,DEL LIBERTADOR AV. 405,AVENIDA,405 DEL LIBERTADOR AV.,DEL LIBERTADOR AV.,405,0,12107,0,POINT(107701.348649 104355.085437),1,1,1,0,-58.37935309,-34.58998301
1722,42,POLICIA FEDERAL 2015,MARZO,20,01/03/2015,2:40:00 AM,VEHICULO - VEHICULO,COLISION,AV.SAN JUAN Y ALBERTI,SAN JUAN AV. y ALBERTI,AVENIDA,SAN JUAN AV. & ALBERTI,SAN JUAN AV.,0,ALBERTI,20040,1034,POINT(105766.234375 100631.34375),1,1,1,0,-58.40042121,-34.62356295
2329,43,POLICIA FEDERAL 2015,MARZO,36,01/03/2015,9:30:00 AM,VEHICULO - VEHICULO,COLISION,AVDA GRAL FRANCISCO FERNANDEZ DE LA CRUZ & RIVERA INDARTE,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. & RIVERA INDARTE AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,RIVERA INDARTE AV.,3195,19054,POINT(102500.65625 97215.1484375),0,1,1,0,-58.43602124,-34.65437079
2349,44,POLICIA FEDERAL 2015,MARZO,40,01/03/2015,7:24:00 PM,VEHICULO - VEHICULO,COLISION,AVDA JUAN B ALBERDI & MORETO,"ALBERDI, JUAN BAUTISTA AV. y MORETO",AVENIDA,"ALBERDI, JUAN BAUTISTA AV. & MORETO","ALBERDI, JUAN BAUTISTA AV.",0,MORETO,1033,13130,POINT(97586.5546875 98569.703125),0,1,1,0,-58.48962352,-34.64216029
2223,45,POLICIA FEDERAL 2015,MARZO,41,01/03/2015,4:05:00 AM,VEHICULO - PEATON,ATROPELLO,AVDA NAZCA & LASCANO,NAZCA AV. y LASCANO,AVENIDA,NAZCA AV. & LASCANO,NAZCA AV.,0,LASCANO,14012,12071,POINT(97995.0390625 102479.734375),1,1,1,0,-58.48515866,-34.60691463
1964,46,POLICIA FEDERAL 2015,MARZO,29,01/03/2015,3:40:00 PM,VEHICULO - VEHICULO,COLISION,AVDA TTEG DONATO ALVAREZ & ALEJANDRO MAGARINOS CERVANTES,"ALVAREZ, DONATO, TTE. GRAL. AV. y MAGARIÑOS CERVANTES, A.",AVENIDA,"ALVAREZ, DONATO, TTE. GRAL. AV. & MAGARIÑOS CERVANTES, A.","ALVAREZ, DONATO, TTE. GRAL. AV.",0,"MAGARIÑOS CERVANTES, A.",1055,13011,POINT(99972.4140625 102631.3359375),0,1,1,0,-58.46360043,-34.6055501
1650,47,POLICIA FEDERAL 2015,MARZO,7,01/03/2015,4:00:00 PM,VEHICULO - MOTO,COLISION,BARTOLOME MITRE & AZCUENAGA,"MITRE, BARTOLOME y AZCUENAGA",CALLE,"MITRE, BARTOLOME & AZCUENAGA","MITRE, BARTOLOME",0,AZCUENAGA,13094,1147,POINT(105755.234375 102296.0078125),0,1,1,0,-58.40055235,-34.60855706
2128,48,POLICIA FEDERAL 2015,MARZO,38,01/03/2015,2:45:00 AM,VEHICULO - VEHICULO,COLISION,BONIFACIO Y SAN PEDRITO,"BONIFACIO, JOSE y SAN PEDRITO AV.",AVENIDA,"BONIFACIO, JOSE & SAN PEDRITO AV.","BONIFACIO, JOSE",0,SAN PEDRITO AV.,2098,20050,POINT(99572.40625 99424.4140625),1,1,1,0,-58.46796324,-34.63445847
2130,49,POLICIA FEDERAL 2015,MARZO,38,01/03/2015,8:15:00 AM,VEHICULO - VEHICULO,COLISION,BOYACA Y RIVADAVIA,BOYACA AV. y RIVADAVIA AV.,AVENIDA,BOYACA AV. & RIVADAVIA AV.,BOYACA AV.,0,RIVADAVIA AV.,2107,19046,POINT(100604.3125 100288.7421875),0,1,1,0,-58.45670979,-34.62666705
2026,50,POLICIA FEDERAL 2015,MARZO,51,01/03/2015,7:45:00 PM,VEHICULO - MOTO,COLISION,DEL LIBERTADOR 6500,DEL LIBERTADOR AV. 6500,AVENIDA,6500 DEL LIBERTADOR AV.,DEL LIBERTADOR AV.,6500,0,12107,0,POINT(101071.883395 108537.078664),0,1,1,0,-58.45162079,-34.55231251
2265,51,POLICIA FEDERAL 2015,MARZO,45,01/03/2015,2:05:00 PM,VEHICULO - MOTO,COLISION,JOSE P VARELA Y AV CHIVILCOY,"VARELA, JOSE PEDRO y CHIVILCOY AV.",AVENIDA,"VARELA, JOSE PEDRO & CHIVILCOY AV.","VARELA, JOSE PEDRO",0,CHIVILCOY AV.,23013,3258,POINT(95938.1207056371 102733.056580721),0,1,1,0,-58.50758287,-34.60462489
2371,52,POLICIA FEDERAL 2015,MARZO,42,01/03/2015,9:00:00 AM,VEHICULO - VEHICULO,COLISION,PILAR & AVDA JUAN B ALBERDI,"PILAR y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,"PILAR & ALBERDI, JUAN BAUTISTA AV.",PILAR,0,"ALBERDI, JUAN BAUTISTA AV.",17081,1033,POINT(95975.59375 97082.2421875),0,1,1,0,-58.50720152,-34.65556365
2065,53,POLICIA FEDERAL 2015,MARZO,11,01/03/2015,4:00:00 AM,VEHICULO - MOTO,COLISION,YATAY & BARTOLOME MITRE,"YATAY y MITRE, BARTOLOME",CALLE,"YATAY & MITRE, BARTOLOME",YATAY,0,"MITRE, BARTOLOME",26002,13094,POINT(103153.7734375 102057.59375),1,1,1,0,-58.42891431,-34.61071737
2918,54,POLICIA FEDERAL 2015,ABRIL,33,01/04/2015,9:55:00 AM,VEHICULO - BICICLETA,COLISION,11 DE SETIEMBRE & MANUEL UGARTE,"11 DE SEPTIEMBRE DE 1888 y UGARTE, MANUEL",CALLE,"11 DE SEPTIEMBRE DE 1888 & UGARTE, MANUEL",11 DE SEPTIEMBRE DE 1888,0,"UGARTE, MANUEL",16025,22020,POINT(100690.25 108435.7890625),0,4,1,0,-58.45577873,-34.55322589
3290,55,POLICIA FEDERAL 2015,ABRIL,42,01/04/2015,1:30:00 PM,VEHICULO - VEHICULO,COLISION,12500 AVDA GRAL PAZ COLECTORA,"PAZ, GRAL. AV. 12500",AVENIDA,"12500 PAZ, GRAL. AV.","PAZ, GRAL. AV.",12500,0,17041,0,POINT(94819.3870324 96569.952826),0,4,1,0,-58.51981752,-34.66017634
3050,56,POLICIA FEDERAL 2015,ABRIL,34,01/04/2015,9:00:00 AM,MOTO - PEATON,ATROPELLO,AGUSTIN DE VEDIA Y RIVERA,"VEDIA, AGUSTIN DE y RIVERA, FRUCTUOSO, GENERAL",CALLE,"VEDIA, AGUSTIN DE & RIVERA, FRUCTUOSO, GENERAL","VEDIA, AGUSTIN DE",0,"RIVERA, FRUCTUOSO, GENERAL",23017,19052,POINT(103229.6328125 97525.8984375),0,4,1,0,-58.42807025,-34.65156758
3128,57,POLICIA FEDERAL 2015,ABRIL,35,01/04/2015,4:32:00 PM,VEHICULO - MOTO,COLISION,AMENABAR Y BESARES,AMENABAR y BESARES,CALLE,AMENABAR & BESARES,AMENABAR,0,BESARES,1072,2073,POINT(99155.7890625 109259.2890625),0,4,1,0,-58.47249648,-34.54580225
2566,58,POLICIA FEDERAL 2015,ABRIL,14,01/04/2015,10:00:00 AM,VEHICULO - MOTO,COLISION,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO,0,0,99657,0,0,0,4,1,0,,
2668,59,POLICIA FEDERAL 2015,ABRIL,20,01/04/2015,1:00:00 AM,VEHICULO - BICICLETA,COLISION,AV SAN JUAN Y SANCHEZ DE LORIA ,SAN JUAN AV. y SANCHEZ DE LORIA,AVENIDA,SAN JUAN AV. & SANCHEZ DE LORIA,SAN JUAN AV.,0,SANCHEZ DE LORIA,20040,12137,POINT(104695.703125 100475.9375),1,4,1,0,-58.4120941,-34.62496924
2722,60,POLICIA FEDERAL 2015,ABRIL,21,01/04/2015,3:25:00 PM,VEHICULO - MOTO,COLISION,AV. CORONEL DIAZ 1520 ,"DIAZ, CNEL. AV. 1520",AVENIDA,"1520 DIAZ, CNEL. AV.","DIAZ, CNEL. AV.",1520,0,4073,0,POINT(104578.721381 104043.896923),0,4,1,0,-58.41338878,-34.5928067
2733,61,POLICIA FEDERAL 2015,ABRIL,23,01/04/2015,3:00:00 PM,VEHICULO - MOTO,COLISION,AV. LIBERTADOR Y CASARES,DEL LIBERTADOR AV. y CASARES AV.,AVENIDA,DEL LIBERTADOR AV. & CASARES AV.,DEL LIBERTADOR AV.,0,CASARES AV.,12107,3082,POINT(104903.0078125 105766.078125),0,4,1,0,-58.40986369,-34.57728071
3051,62,POLICIA FEDERAL 2015,ABRIL,34,01/04/2015,6:00:00 PM,MOTO - MOTO,COLISION,AV. RABANAL 1800,"RABANAL, FRANCISCO, INTENDENTE AV. 1800",AVENIDA,"1800 RABANAL, FRANCISCO, INTENDENTE AV.","RABANAL, FRANCISCO, INTENDENTE AV.",1800,0,19057,0,POINT(103685.515201 96879.5624995),0,4,1,0,-58.42309458,-34.65739236
3355,63,POLICIA FEDERAL 2015,ABRIL,48,01/04/2015,6:00:00 PM,VEHICULO - PEATON,ATROPELLO,AV.EVA PERON Y L.DE LA TORRE,"PERON, EVA AV. y DE LA TORRE, LISANDRO AV.",AVENIDA,"PERON, EVA AV. & DE LA TORRE, LISANDRO AV.","PERON, EVA AV.",0,"DE LA TORRE, LISANDRO AV.",4056,21019,POINT(97222.0625 95707.2734375),0,4,1,0,-58.49360864,-34.66796228
2544,64,POLICIA FEDERAL 2015,ABRIL,4,01/04/2015,7:45:00 PM,VEHICULO - MOTO,COLISION,AVDA 9 DE JULIO & AVDA INDEPENDENCIA,9 DE JULIO AV. e INDEPENDENCIA AV.,AVENIDA,9 DE JULIO AV. & INDEPENDENCIA AV.,9 DE JULIO AV.,0,INDEPENDENCIA AV.,14029,9010,POINT(107535.578125 101285.5390625),0,4,1,0,-58.38113298,-34.6176544
2543,65,POLICIA FEDERAL 2015,ABRIL,4,01/04/2015,3:10:00 PM,VEHICULO - PEATON,ATROPELLO,AVDA DE MAYO & PIEDRAS,DE MAYO AV. y PIEDRAS,AVENIDA,DE MAYO AV. & PIEDRAS,DE MAYO AV.,0,PIEDRAS,4064,17078,POINT(107843.8046875 102267.34375),0,4,1,0,-58.37778114,-34.60880173
2582,66,POLICIA FEDERAL 2015,ABRIL,22,01/04/2015,1:30:00 AM,SIN DATOS,SIN DATOS,AVDA ING HUERGO & COCHABAMBA,"HUERGO, ING. AV. y COCHABAMBA",AVENIDA,"HUERGO, ING. AV. & COCHABAMBA","HUERGO, ING. AV.",0,COCHABAMBA,8030,3134,POINT(108928.75 100728.7890625),1,4,1,0,-58.36593624,-34.62266206
3263,67,POLICIA FEDERAL 2015,ABRIL,40,01/04/2015,10:10:00 AM,VEHICULO - MOTO,COLISION,AVDA OLIVERA & GRAL EUGENIO GARZON,OLIVERA AV. y GARZON EUGENIO GENERAL,AVENIDA,OLIVERA AV. & GARZON EUGENIO GENERAL,OLIVERA AV.,0,GARZON EUGENIO GENERAL,16017,7038,POINT(98153.984375 97756),0,4,1,0,-58.48343636,-34.64949651
